wl;00_background;01_m_c;01_m_q;02_m_c;02_m_q;03_m_c;03_m_q
385;5.150033429;5.513331125;31.55435094;10.57492229;6.856362316;32.46470459;10.32796405
386;5.167752534;5.594405209;30.81141555;10.76382622;6.656168047;32.86823395;10.29277612
387;5.184704761;5.672666981;30.14011398;10.94237595;6.484691112;33.24167833;10.26126295
388;5.200734133;5.747231309;29.55264701;11.1079361;6.346488503;33.57800318;10.23241882
389;5.216296942;5.82361521;29.03295887;11.27655519;6.242175439;33.91245285;10.21628689
390;5.231921168;5.907012353;28.55447147;11.46339967;6.166797796;34.27982824;10.22158794
391;5.24755837;5.996052577;28.11360213;11.66451111;6.116558554;34.67242963;10.24533272
392;5.263160106;6.089365725;27.7067682;11.87593109;6.087660694;35.08255729;10.28453199
393;5.278677936;6.185581636;27.330387;12.09370119;6.076307197;35.5025115;10.3361965
394;5.294063417;6.283330152;26.98087587;12.31386296;6.078701042;35.92459255;10.397337
395;5.309268107;6.381241113;26.65465215;12.53245799;6.09104521;36.34110072;10.46496423
396;5.324243565;6.477944361;26.34813315;12.74552784;6.109542681;36.74433627;10.53608896
397;5.338941349;6.572069737;26.05773623;12.94911409;6.130396436;37.12659949;10.60772193
398;5.353313018;6.662247081;25.7798787;13.13925832;6.149809456;37.48019066;10.67687389
399;5.367310129;6.747106235;25.51097791;13.31200208;6.163984719;37.79741007;10.7405556
400;5.380884242;6.825277038;25.24745118;13.46338697;6.169125207;38.07055797;10.7957778
401;5.394159426;6.898428432;25.01972095;13.60136512;6.184515783;38.31258319;10.84651487
402;5.407281052;6.969383603;24.85503577;13.73644237;6.229129609;38.54196722;10.89913542
403;5.420232628;7.038503765;24.74505212;13.86849076;6.298702114;38.75930936;10.95424161
404;5.43299766;7.106150128;24.68142649;13.99738235;6.388968727;38.96520893;11.01243559
405;5.445559658;7.172683906;24.65581538;14.12298921;6.495664876;39.16026524;11.0743195
406;5.457902129;7.23846631;24.65987527;14.24518337;6.61452599;39.34507759;11.14049549
407;5.47000858;7.303858554;24.68526265;14.36383691;6.741287498;39.52024532;11.21156571
408;5.48186252;7.36922185;24.72363402;14.47882187;6.871684829;39.68636771;11.28813231
409;5.493447457;7.434917409;24.76664587;14.59001031;7.001453411;39.84404409;11.37079743
410;5.504746898;7.501306444;24.80595468;14.69727429;7.126328673;39.99387376;11.46016322
411;5.515744351;7.568750168;24.83321694;14.80048587;7.242046043;40.13645604;11.55683183
412;5.526423324;7.637609792;24.84008916;14.8995171;7.344340952;40.27239024;11.6614054
413;5.536767325;7.70824653;24.81822781;14.99424004;7.428948826;40.40227566;11.77448609
414;5.54643693;7.779666902;24.80508007;15.07831834;7.512432942;40.5090598;11.89418864
415;5.555203068;7.850649429;24.83853605;15.1471628;7.612203281;40.57929799;12.01835989
416;5.56321478;7.921213322;24.91091661;15.20326618;7.72526533;40.61900128;12.14720015
417;5.570621106;7.991377794;25.01454263;15.24912127;7.848624579;40.63418076;12.28090976
418;5.577571086;8.061162056;25.14173498;15.28722083;7.979286514;40.63084748;12.41968902
419;5.58421376;8.13058532;25.28481454;15.32005763;8.114256624;40.61501253;12.56373826
420;5.590698168;8.199666798;25.43610217;15.35012444;8.250540398;40.59268697;12.71325779
421;5.59717335;8.268425701;25.58791876;15.37991402;8.385143323;40.56988187;12.86844792
422;5.603788346;8.336881242;25.73258517;15.41191915;8.515070887;40.55260829;13.02950897
423;5.610692197;8.405052632;25.86242228;15.44863261;8.637328579;40.54687732;13.19664127
424;5.618033941;8.472959083;25.96975095;15.49254714;8.748921887;40.55870001;13.37004512
425;5.62596262;8.540619807;26.04689208;15.54615554;8.846856298;40.59408744;13.54992085
426;5.633565801;8.611318116;26.11858447;15.60118759;8.940198744;40.63300467;13.74502196
427;5.639986852;8.687511706;26.21222342;15.6485238;9.039202186;40.65342157;13.96171042
428;5.645458511;8.767981358;26.32411451;15.68938302;9.14265116;40.65835641;14.19659928
429;5.650213518;8.851507855;26.45056332;15.72498409;9.249330201;40.65082748;14.44630158
430;5.654484611;8.936871981;26.58787544;15.75654587;9.358023845;40.63385305;14.70743036
431;5.658504529;9.022854519;26.73235643;15.7852872;9.467516628;40.61045139;14.97659865
432;5.662506012;9.108236251;26.88031188;15.81242693;9.576593084;40.5836408;15.25041951
433;5.666721798;9.19179796;27.02804737;15.8391839;9.68403775;40.55643954;15.52550596
434;5.671384627;9.27232043;27.17186848;15.86677697;9.788635161;40.53186589;15.79847104
435;5.676727237;9.348584443;27.30808078;15.89642497;9.889169852;40.51293813;16.0659278
436;5.682982367;9.419370782;27.43298986;15.92934677;9.984426358;40.50267454;16.32448928
437;5.690382756;9.48346023;27.54290129;15.96676119;10.07318922;40.50409339;16.57076851
438;5.699161144;9.53963357;27.63412066;16.0098871;10.15424296;40.52021297;16.80137854
439;5.708441236;9.592459188;27.71600591;16.05615348;10.22827726;40.54427215;17.03527805
440;5.71728129;9.646873799;27.80000469;16.10221062;10.29731838;40.56762948;17.29071528
441;5.725815879;9.702210687;27.88555713;16.14810924;10.36215578;40.59048279;17.56323764
442;5.734179571;9.757803132;27.97210338;16.19390011;10.42357892;40.61302987;17.84839251
443;5.742506938;9.812984417;28.05908356;16.23963397;10.48237725;40.63546854;18.14172728
444;5.75093255;9.867087823;28.14593781;16.28536155;10.53934022;40.65799661;18.43878934
445;5.759590977;9.919446632;28.23210627;16.33113362;10.59525729;40.68081187;18.73512608
446;5.76861679;9.969394126;28.31702905;16.37700092;10.65091792;40.70411216;19.0262849
447;5.77814456;10.01626359;28.40014631;16.42301419;10.70711156;40.72809526;19.30781318
448;5.788308856;10.05938829;28.48089817;16.46922418;10.76462766;40.752959;19.57525831
449;5.79924425;10.09810153;28.55872477;16.51568165;10.82425568;40.77890118;19.82416769
450;5.811085311;10.13173658;28.63306624;16.56243732;10.88678507;40.80611961;20.05008871
451;5.824141421;10.15829618;28.70339127;16.60998478;10.94642585;40.83726811;20.26659572
452;5.838493711;10.17701448;28.76992266;16.65865582;10.99786604;40.87417543;20.48907376
453;5.853934377;10.18907193;28.83323176;16.70825848;11.04261211;40.91580173;20.71578624
454;5.870255615;10.19564894;28.89388987;16.75860084;11.08217054;40.96110719;20.94499657
455;5.887249621;10.19792596;28.95246834;16.80949095;11.11804778;41.00905197;21.17496814
456;5.904708591;10.19708339;29.00953848;16.86073688;11.15175032;41.05859626;21.40396438
457;5.922424722;10.19430168;29.06567162;16.91214669;11.1847846;41.10870023;21.63024867
458;5.94019021;10.19076125;29.12143909;16.96352844;11.21865712;41.15832404;21.85208444
459;5.95779725;10.18764254;29.17741221;17.01469019;11.25487432;41.20642787;22.06773509
460;5.97503804;10.18612596;29.2341623;17.06544001;11.29494269;41.2519719;22.27546402
461;5.991704774;10.18739195;29.29226071;17.11558596;11.34036869;41.2939163;22.47353464
462;6.007589649;10.19262093;29.35227874;17.16493609;11.39265879;41.33122123;22.66021036
463;6.022484862;10.20299334;29.41478773;17.21329847;11.45331946;41.36284688;22.83375458
464;6.037588611;10.2091245;29.47631044;17.25835134;11.51695292;41.38983572;22.99301456
465;6.054054006;10.20255723;29.53351327;17.29859305;11.57767566;41.41421814;23.13915018
466;6.071605611;10.18586325;29.587183;17.33506186;11.6362656;41.43643614;23.27389372
467;6.089967989;10.16161424;29.63810643;17.36879602;11.69350062;41.45693172;23.3989775
468;6.108865702;10.1323819;29.68707033;17.40083376;11.75015862;41.47614688;23.5161338
469;6.128023314;10.10073794;29.73486149;17.43221336;11.80701751;41.49452364;23.62709494
470;6.147165388;10.06925405;29.78226669;17.46397305;11.86485519;41.51250399;23.73359321
471;6.166016486;10.04050193;29.83007273;17.49715109;11.92444954;41.53052994;23.8373609
472;6.184301172;10.01705328;29.87906637;17.53278572;11.98657848;41.54904349;23.94013034
473;6.201744009;10.00147979;29.93003442;17.5719152;12.05201989;41.56848665;24.0436338
474;6.218069559;9.996353158;29.98376364;17.61557778;12.12155168;41.58930143;24.1496036
475;6.233002387;10.00424509;30.04104084;17.66481171;12.19595175;41.61192982;24.25977203
476;6.246831595;10.01918763;30.10025889;17.71519449;12.27659397;41.63098898;24.36446489
477;6.26008786;10.03375913;30.15934117;17.76219378;12.36368307;41.64188355;24.45436495
478;6.272858107;10.0483508;30.21837019;17.80668308;12.45624318;41.64623676;24.53173997
479;6.285229263;10.06335383;30.27742846;17.84953587;12.55329842;41.64567183;24.59885771
480;6.297288251;10.07915942;30.3365985;17.89162563;12.65387295;41.64181201;24.65798594
481;6.309121997;10.09615878;30.39596281;17.93382584;12.75699089;41.6362805;24.71139242
482;6.320817425;10.1147431;30.45560391;17.97701;12.86167639;41.63070055;24.76134492
483;6.332461461;10.13530357;30.51560431;18.02205159;12.96695358;41.62669537;24.81011119
484;6.344141029;10.1582314;30.57604652;18.06982409;13.07184659;41.62588821;24.859959
485;6.355943055;10.18391779;30.63701304;18.121201;13.17537956;41.62990228;24.91315612
486;6.367954464;10.21275392;30.6985864;18.17705578;13.27657664;41.64036082;24.9719703
487;6.38026218;10.24513101;30.7608491;18.23826194;13.37446194;41.65888706;25.03866931
488;6.392953129;10.28144024;30.82388365;18.30569295;13.46805962;41.68710422;25.11552092
489;6.4050439;10.32515781;30.88789717;18.37946824;13.56260723;41.72044999;25.19554566
490;6.415688696;10.37841155;30.9529814;18.45860129;13.66320553;41.75355195;25.27087292
491;6.425180859;10.4395701;31.01904584;18.54230665;13.76867349;41.78681813;25.3424337
492;6.433813735;10.5070021;31.08599998;18.62979889;13.87783006;41.82065655;25.41115902
493;6.441880667;10.57907619;31.15375329;18.72029256;13.98949418;41.85547525;25.4779799
494;6.449674998;10.65416101;31.22221528;18.81300223;14.10248483;41.89168225;25.54382737
495;6.457490073;10.73062522;31.29129542;18.90714245;14.21562095;41.92968561;25.60963242
496;6.465619235;10.80683745;31.36090321;19.00192778;14.3277215;41.96989333;25.67632608
497;6.474355828;10.88116635;31.43094812;19.09657279;14.43760543;42.01271346;25.74483936
498;6.483993195;10.95198055;31.50133966;19.19029203;14.5440917;42.05855403;25.81610329
499;6.494824682;11.0176487;31.5719873;19.28230006;14.64599927;42.10782307;25.89104887
500;6.50714363;11.07653945;31.64280054;19.37181145;14.74214708;42.16092861;25.97060713
501;6.520330549;11.13489387;31.71201858;19.46480458;14.83449825;42.21998901;26.05152241
502;6.533584513;11.19929251;31.77836553;19.56670765;14.92584659;42.28614404;26.13024005
503;6.546926717;11.26861323;31.8424782;19.67590995;15.01625714;42.35833382;26.20724253
504;6.560378358;11.34173388;31.90499339;19.79080074;15.10579493;42.43549849;26.2830123
505;6.573960629;11.41753232;31.96654794;19.90976931;15.194525;42.51657817;26.35803186
506;6.587694727;11.49488638;32.02777864;20.03120493;15.28251238;42.60051301;26.43278368
507;6.601601848;11.57267394;32.08932232;20.15349689;15.36982213;42.68624312;26.50775022
508;6.615703185;11.64977283;32.15181579;20.27503445;15.45651926;42.77270865;26.58341397
509;6.630019935;11.72506091;32.21589586;20.39420691;15.54266881;42.85884972;26.6602574
510;6.644573293;11.79741603;32.28219936;20.50940352;15.62833583;42.94360646;26.73876298
511;6.659384454;11.86571606;32.35136308;20.61901358;15.71358534;43.02591901;26.81941319
512;6.674474614;11.92883882;32.42402385;20.72142636;15.79848239;43.10472749;26.90269051
513;6.689864967;11.98566219;32.50081848;20.81503113;15.88309201;43.17897205;26.9890774
514;6.705855837;12.03956066;32.58209101;20.90762017;15.96725488;43.25564503;27.07912034
515;6.722651824;12.09440134;32.66730929;21.00696311;16.05075939;43.34126317;27.17263302
516;6.740130543;12.14980103;32.75579584;21.11141523;16.13359213;43.4340532;27.26899878
517;6.758169608;12.2053765;32.8468732;21.21933186;16.2157397;43.53224181;27.36760095
518;6.776646633;12.26074456;32.93986389;21.32906827;16.29718869;43.63405572;27.46782287
519;6.795439233;12.31552199;33.03409044;21.43897979;16.37792569;43.73772163;27.56904787
520;6.814425022;12.36932558;33.12887537;21.54742172;16.4579373;43.84146625;27.67065928
521;6.833481615;12.42177211;33.22354121;21.65274934;16.53721011;43.9435163;27.77204044
522;6.852486624;12.47247839;33.3174105;21.75331798;16.61573071;44.04209847;27.87257469
523;6.871317666;12.52106118;33.40980575;21.84748292;16.69348571;44.13543949;27.97164534
524;6.889852354;12.56713729;33.5000495;21.93359948;16.77046169;44.22176606;28.06863575
525;6.907968302;12.61032351;33.58746427;22.01002295;16.84664524;44.29930488;28.16292925
526;6.925903912;12.65042941;33.67841369;22.07927788;16.92411779;44.37212332;28.25956023
527;6.943976967;12.68773427;33.77851693;22.14512772;17.00448751;44.44531124;28.3630712
528;6.962184152;12.72255939;33.88597991;22.20778615;17.08703117;44.51862912;28.47210759
529;6.980522154;12.75522611;33.9990085;22.26746683;17.17102552;44.59183745;28.58531484
530;6.99898766;12.78605572;34.11580861;22.32438343;17.25574732;44.6646967;28.70133841
531;7.017577357;12.81536954;34.23458612;22.37874963;17.34047332;44.73696736;28.81882373
532;7.036287929;12.84348889;34.35354693;22.43077909;17.42448027;44.8084099;28.93641625
533;7.055116065;12.87073508;34.47089694;22.48068548;17.50704493;44.8787848;29.05276141
534;7.07405845;12.89742943;34.58484203;22.52868248;17.58744406;44.94785254;29.16650466
535;7.093111771;12.92389325;34.6935881;22.57498375;17.66495441;45.0153736;29.27629144
536;7.112272715;12.95044785;34.79534104;22.61980297;17.73885274;45.08110847;29.3807672
537;7.131537966;12.97741455;34.88830674;22.6633538;17.8084158;45.14481761;29.47857738
538;7.150904213;13.00511466;34.9706911;22.70584992;17.87292034;45.20626151;29.56836742
539;7.170313819;13.03134224;35.05033192;22.74285266;17.93575849;45.26329632;29.65581423
540;7.189723596;13.05406804;35.13523605;22.77079056;18.00033255;45.3145928;29.74677667
541;7.209151907;13.07387842;35.22386298;22.79117808;18.0659346;45.36113336;29.84017314
